GeneID,ModuleID
SYNPCC7002_F0043,2
SYNPCC7002_F0044,2
SYNPCC7002_F0045,2
SYNPCC7002_F0046,2
SYNPCC7002_F0047,2
SYNPCC7002_F0048,2
SYNPCC7002_F0050,22
SYNPCC7002_F0057,17
SYNPCC7002_F0058,9
SYNPCC7002_F0059,9
SYNPCC7002_F0060,9
SYNPCC7002_F0061,9
SYNPCC7002_F0062,9
SYNPCC7002_F0063,4
SYNPCC7002_F0067,9
SYNPCC7002_F0068,9
SYNPCC7002_F0069,9
SYNPCC7002_F0070,22
SYNPCC7002_F0071,9
SYNPCC7002_F0072,12
SYNPCC7002_F0076,22
SYNPCC7002_F0078,12
SYNPCC7002_F0084,4
SYNPCC7002_F0085,19
SYNPCC7002_F0088,1
SYNPCC7002_F0091,22
SYNPCC7002_F0101,4
SYNPCC7002_F0102,4
SYNPCC7002_F0104,4
SYNPCC7002_G0001,21
SYNPCC7002_G0003,4
SYNPCC7002_G0006,16
SYNPCC7002_G0007,19
SYNPCC7002_G0009,3
SYNPCC7002_G0010,3
SYNPCC7002_G0011,3
SYNPCC7002_G0012,18
SYNPCC7002_G0018,19
SYNPCC7002_G0019,19
SYNPCC7002_G0020,19
SYNPCC7002_G0021,19
SYNPCC7002_G0022,19
SYNPCC7002_G0023,19
SYNPCC7002_G0024,19
SYNPCC7002_G0031,12
SYNPCC7002_G0033,23
SYNPCC7002_G0034,23
SYNPCC7002_G0035,23
SYNPCC7002_G0036,23
SYNPCC7002_G0037,23
SYNPCC7002_G0038,23
SYNPCC7002_G0040,11
SYNPCC7002_G0046,4
SYNPCC7002_G0048,3
SYNPCC7002_G0054,5
SYNPCC7002_G0057,4
